Package,Version
abind,1.4-5
argparse,2.0.1
arrow,0.17.0
askpass,1.1
assertable,0.2.7
assertive,0.3-5
assertive.base,0.0-7
assertive.code,0.0-3
assertive.data,0.0-3
assertive.data.uk,0.0-2
assertive.data.us,0.0-2
assertive.datetimes,0.0-2
assertive.files,0.0-2
assertive.matrices,0.0-2
assertive.models,0.0-2
assertive.numbers,0.0-2
assertive.properties,0.0-4
assertive.reflection,0.0-4
assertive.sets,0.0-3
assertive.strings,0.0-3
assertive.types,0.0-3
assertthat,0.2.1
backports,1.1.6
base64enc,0.1-3
bayesplot,1.7.1
betareg,3.1-3
BH,1.72.0-3
bibtex,0.4.2.2
BiocManager,1.30.10
BiocVersion,3.10.1
bit,1.1-15.2
bit64,0.9-7
bitops,1.0-6
blob,1.2.1
bookdown,0.18
brew,1.0-6
bridgesampling,1.0-0
brms,2.12.0
Brobdingnag,1.2-6
broom,0.5.6
Cairo,1.5-12
callr,3.4.3
caTools,1.18.0
cellranger,1.1.0
checkmate,2.0.0
classInt,0.4-3
cli,2.0.2
clipr,0.7.0
clisymbols,1.2.0
coda,0.19-3
colorspace,1.4-1
colourpicker,1.0
colourvalues,0.3.4
commonmark,1.7
config,0.3
covr,3.5.0
crayon,1.3.4
crosstalk,1.1.0.1
curl,4.3
cyclocomp,1.1.0
data.table,1.12.8
data.tree,0.7.11
DBI,1.1.0
dbplyr,1.4.3
deldir,0.1-25
demCore,0.0.0.9000
demUtils,0.0.0.9000
demViz,0.0.0.9000
desc,1.2.0
devtools,2.3.0
diffobj,0.2.4
digest,0.6.25
docopt,0.6.1
dplyr,0.8.5
DT,0.13
dtplyr,1.0.1
dygraphs,1.1.1.6
e1071,1.7-3
ellipsis,0.3.0
evaluate,0.14
expm,0.999-4
extrafont,0.17
extrafontdb,1.0
fansi,0.4.1
farver,2.0.3
fastmap,1.0.1
feather,0.3.5
findpython,1.0.5
flexmix,2.3-15
FNN,1.1.3
foghorn,1.1.5
fontBitstreamVera,0.1.1
fontLiberation,0.1.0
fontquiver,0.2.1
forcats,0.5.0
foreach,1.5.0
formatR,1.7
Formula,1.2-3
freetypeharfbuzz,0.2.5
fs,1.4.1
future,1.17.0
gargle,0.4.0
gbRd,0.4-11
gdalUtils,2.0.3.2
gdata,2.18.0
gdtools,0.2.2
generics,0.0.2
geojsonsf,1.3.3
geoR,1.8-1
geosphere,1.5-10
GGally,1.5.0
ggmcmc,1.4.1
ggplot2,3.3.0
ggrepel,0.8.2
ggridges,0.5.2
ggthemes,4.2.0
gh,1.1.0
git2r,0.26.1
globals,0.12.5
glue,1.4.0
gmailr,1.0.0
gmodels,2.18.1
goftest,1.2-2
googlePolylines,0.7.2
gridExtra,2.3
gstat,2.0-5
gtable,0.3.0
gtools,3.8.2
haven,2.2.0
hdf5r,1.3.2
hexbin,1.28.1
hierarchyUtils,0.0.0.9000
highlight,0.5.0
highr,0.8
hms,0.5.3
HSAUR3,1.0-9
htmltools,0.4.0
htmlwidgets,1.5.1
httpuv,1.5.2
httr,1.4.1
hunspell,3.0
igraph,1.2.5
ini,0.3.1
inline,0.3.15
intervals,0.15.2
isoband,0.2.1
iterators,1.0.12
jsonify,1.1.1
jsonlite,1.6.1
kableExtra,1.1.0
knitr,1.28
labeling,0.3
Lahman,7.0-1
later,1.0.0
